sum,probability,count
15,4.719741735732221e-07,1
16,4.719741735732221e-07,1
17,9.439483471464442e-07,2
18,1.4159225207196663e-06,3
19,2.35987086786611e-06,5
20,3.3038192150125547e-06,7
21,4.71974173573222e-06,10
22,6.135664256451887e-06,13
23,8.495535124317997e-06,18
24,1.0855405992184108e-05,23
25,1.4159225207196663e-05,30
26,1.7463044422209216e-05,37
27,2.2182786157941438e-05,47
28,2.6902527893673657e-05,57
29,3.303819215012555e-05,70
30,3.9645830580150654e-05,84
31,4.7669391530895427e-05,101
32,5.6164926655213425e-05,119
33,6.654835847382431e-05,141
34,7.740376446600842e-05,164
35,9.061904132605864e-05,192
36,0.00010430629235968208,221
37,0.00012035341426117164,255
38,0.00013734448450980762,291
39,0.00015716739979988295,333
40,0.0001779342634371047,377
41,0.00020153297211576582,427
42,0.0002265476033151466,480
43,0.00025486605372953994,540
44,0.0002846004266646529,603
45,0.0003181105929883517,674
46,0.00035303668183277013,748
47,0.00039221053823934756,831
48,0.00043327229134021786,918
49,0.0004785818120032472,1014
50,0.0005262512035341426,1115
51,0.0005786403368007703,1226
52,0.000633389340935264,1342
53,0.0006933300609790632,1469
54,0.0007561026260643018,1602
55,0.0008245388812324189,1747
56,0.0008958069814419755,1898
57,0.0009732107459079839,2062
58,0.0010539183295890048,2233
59,0.001141233551700051,2418
60,0.0012323245671996828,2611
61,0.0013295512469557666,2817
62,0.0014310256942740094,3032
63,0.0015395797541958504,3262
64,0.0016519096075062773,3500
65,0.0017713190734203025,3753
66,0.0018949763068964866,4015
67,0.002025713152976269,4292
68,0.002160697766618211,4578
69,0.0023027619928637504,4879
70,0.0024490739866714494,5189
71,0.0026024655930827465,5514
72,0.0027601049670562027,5848
73,0.002924351979459684,6196
74,0.003092846759425324,6553
75,0.003268421151994563,6925
76,0.003447299363778814,7304
77,0.00363278521399309,7697
78,0.0038220468575959525,8098
79,0.004017444165455266,8512
80,0.004216145292529593,8933
81,0.004420510109686798,9366
82,0.004627706771885442,9805
83,0.004840567124166965,10256
84,0.0050557873473163545,10712
85,0.0052757273122014765,11178
86,0.005497555173780891,11648
87,0.005724102777096038,12128
88,0.005951594328758331,12610
89,0.006182861673809209,13100
90,0.006415072967207234,13592
91,0.006650116105646699,14090
92,0.006885159244086164,14588
93,0.007122562253393494,15091
94,0.007359021314353679,15592
95,0.007597368272008156,16097
96,0.00783382733296834,16598
97,0.008070758368102098,17100
98,0.008305329532367988,17597
99,0.00853990069663388,18094
100,0.008770696067511186,18583
101,0.009000075515867772,19069
102,0.009225207196662198,19546
103,0.00944797900658876,20018
104,0.009665087126432442,20478
105,0.009878891427061111,20931
106,0.010085616115086182,21369
107,0.010288093035549095,21798
108,0.010483018369234836,22211
109,0.010671808038664124,22611
110,0.010852574147142668,22994
111,0.011026732617191188,23363
112,0.011191451603768242,23712
113,0.011348619003568124,24045
114,0.011496346919896544,24358
115,0.011635579301100644,24653
116,0.011764428250486134,24926
117,0.011884309690573731,25180
118,0.011993335724669147,25411
119,0.012092922275293096,25622
120,0.012181653419924861,25810
121,0.012259529158564443,25975
122,0.012326549491211841,26117
123,0.012383186392040628,26237
124,0.012428023938530083,26332
125,0.012462006079027355,26404
126,0.01248466083935887,26452
127,0.012495988219524627,26476
128,0.012495988219524627,26476
129,0.01248466083935887,26452
130,0.012462006079027355,26404
131,0.012428023938530083,26332
132,0.012383186392040628,26237
133,0.012326549491211841,26117
134,0.012259529158564443,25975
135,0.012181653419924861,25810
136,0.012092922275293096,25622
137,0.011993335724669147,25411
138,0.011884309690573731,25180
139,0.011764428250486134,24926
140,0.011635579301100644,24653
141,0.011496346919896544,24358
142,0.011348619003568124,24045
143,0.011191451603768242,23712
144,0.011026732617191188,23363
145,0.010852574147142668,22994
146,0.010671808038664124,22611
147,0.010483018369234836,22211
148,0.010288093035549095,21798
149,0.010085616115086182,21369
150,0.009878891427061111,20931
151,0.009665087126432442,20478
152,0.00944797900658876,20018
153,0.009225207196662198,19546
154,0.009000075515867772,19069
155,0.008770696067511186,18583
156,0.00853990069663388,18094
157,0.008305329532367988,17597
158,0.008070758368102098,17100
159,0.00783382733296834,16598
160,0.007597368272008156,16097
161,0.007359021314353679,15592
162,0.007122562253393494,15091
163,0.006885159244086164,14588
164,0.006650116105646699,14090
165,0.006415072967207234,13592
166,0.006182861673809209,13100
167,0.005951594328758331,12610
168,0.005724102777096038,12128
169,0.005497555173780891,11648
170,0.0052757273122014765,11178
171,0.0050557873473163545,10712
172,0.004840567124166965,10256
173,0.004627706771885442,9805
174,0.004420510109686798,9366
175,0.004216145292529593,8933
176,0.004017444165455266,8512
177,0.0038220468575959525,8098
178,0.00363278521399309,7697
179,0.003447299363778814,7304
180,0.003268421151994563,6925
181,0.003092846759425324,6553
182,0.002924351979459684,6196
183,0.0027601049670562027,5848
184,0.0026024655930827465,5514
185,0.0024490739866714494,5189
186,0.0023027619928637504,4879
187,0.002160697766618211,4578
188,0.002025713152976269,4292
189,0.0018949763068964866,4015
190,0.0017713190734203025,3753
191,0.0016519096075062773,3500
192,0.0015395797541958504,3262
193,0.0014310256942740094,3032
194,0.0013295512469557666,2817
195,0.0012323245671996828,2611
196,0.001141233551700051,2418
197,0.0010539183295890048,2233
198,0.0009732107459079839,2062
199,0.0008958069814419755,1898
200,0.0008245388812324189,1747
201,0.0007561026260643018,1602
202,0.0006933300609790632,1469
203,0.000633389340935264,1342
204,0.0005786403368007703,1226
205,0.0005262512035341426,1115
206,0.0004785818120032472,1014
207,0.00043327229134021786,918
