even_count,empirical_frequency,empirical_relative_frequency,theoretical_probability
0,19,0.021566401816118047,0.02507598784194529
1,165,0.1872871736662883,0.1492618323925315
2,271,0.3076049943246311,0.32566217976552325
3,268,0.30419977298524403,0.32566217976552325
4,133,0.15096481271282633,0.1492618323925315
5,25,0.028376844494892167,0.02507598784194529
