even_count,empirical_frequency,empirical_relative_frequency,theoretical_probability
0,7,0.007945516458569807,0.006268996960486322
1,48,0.05448354143019296,0.049853452019105515
2,170,0.19296254256526674,0.1623154580981329
3,228,0.25879682179341656,0.2815620929222753
4,243,0.2758229284903519,0.2815620929222753
5,133,0.15096481271282633,0.1623154580981329
6,44,0.049943246311010214,0.049853452019105515
7,8,0.009080590238365494,0.006268996960486322
