Number,Relative_Frequency
1,0.10150375939849623
2,0.11278195488721804
3,0.12406015037593984
4,0.12781954887218044
5,0.14285714285714285
6,0.10526315789473684
7,0.13157894736842105
8,0.15413533834586465
