id,Datum,Z1,Z2,Z3,Z4,Z5,EZ1,EZ2
600,2022-12-20,6,11,26,43,49,5,8
601,2022-12-23,9,34,35,42,44,6,11
602,2022-12-27,28,33,34,37,44,4,11
603,2022-12-30,3,37,45,47,50,5,10
604,2023-01-03,28,29,31,37,50,4,5
605,2023-01-06,14,28,31,47,50,7,12
606,2023-01-10,9,16,27,41,45,1,4
607,2023-01-13,7,14,34,41,49,4,9
608,2023-01-17,6,11,16,35,44,2,6
609,2023-01-20,1,12,15,31,47,9,10
610,2023-01-24,9,16,17,27,31,1,9
611,2023-01-27,4,9,29,34,37,3,12
612,2023-01-31,20,21,30,41,43,10,11
613,2023-02-03,1,7,17,44,50,2,10
614,2023-02-07,10,15,25,37,46,7,12
615,2023-02-10,3,10,20,36,42,8,10
616,2023-02-14,1,2,6,14,45,2,7
617,2023-02-17,5,12,15,21,39,3,4
618,2023-02-21,13,20,34,38,43,3,6
619,2023-02-24,1,5,12,18,20,6,7
620,2023-02-28,6,20,27,38,49,3,9
621,2023-03-03,1,18,37,46,48,3,7
622,2023-03-07,4,11,12,16,42,3,5
623,2023-03-10,6,17,22,39,46,5,12
624,2023-03-14,9,16,32,34,48,2,6
625,2023-03-17,5,18,21,29,45,1,6
626,2023-03-21,8,13,16,44,47,6,8
627,2023-03-24,6,21,23,26,43,3,9
628,2023-03-28,6,12,36,37,44,1,11
629,2023-03-31,10,11,31,37,44,5,12
630,2023-04-04,1,15,19,24,33,7,8
631,2023-04-07,16,28,32,36,48,5,10
632,2023-04-11,5,19,33,37,42,7,9
633,2023-04-14,7,11,20,21,29,6,11
634,2023-04-18,16,28,31,35,42,2,10
635,2023-04-21,5,13,16,41,45,3,6
636,2023-04-25,12,21,24,28,40,1,3
637,2023-04-28,4,8,9,30,35,6,7
638,2023-05-02,11,12,13,23,26,11,12
639,2023-05-05,17,18,30,33,35,6,8
640,2023-05-09,6,11,29,34,39,2,3
641,2023-05-12,10,27,30,32,34,5,8
642,2023-05-16,28,30,31,45,46,4,8
643,2023-05-19,1,5,8,20,35,3,12
644,2023-05-23,1,2,11,14,36,2,3
645,2023-05-26,1,3,29,45,47,5,8
646,2023-05-30,2,8,16,21,39,4,5
647,2023-06-02,8,9,11,13,50,6,11
648,2023-06-06,5,7,21,22,29,3,10
649,2023-06-09,8,13,24,35,46,6,8
650,2023-06-13,11,29,32,46,47,5,7
651,2023-06-16,5,19,33,36,42,7,12
652,2023-06-20,9,18,30,34,48,1,7
653,2023-06-23,2,3,18,23,39,6,8
654,2023-06-27,7,10,13,34,47,5,9
655,2023-06-30,3,14,23,41,43,2,6
656,2023-07-04,19,21,23,36,39,5,12
657,2023-07-07,9,18,20,40,41,3,9
658,2023-07-11,11,15,17,24,46,2,11
659,2023-07-14,2,4,12,31,50,6,8
660,2023-07-18,14,16,24,40,43,1,5
661,2023-07-21,7,16,22,38,41,5,9
662,2023-07-25,3,9,11,20,39,2,3
663,2023-07-28,10,16,34,36,49,3,7
664,2023-08-01,2,9,38,40,44,5,11
665,2023-08-04,3,17,19,32,38,6,7
666,2023-08-08,6,12,25,31,37,6,9
667,2023-08-11,1,35,36,38,39,3,10
668,2023-08-15,12,21,23,26,41,5,6
669,2023-08-18,2,16,22,28,46,4,8
670,2023-08-22,8,40,41,46,47,3,11
671,2023-08-25,2,5,11,27,38,10,12
672,2023-08-29,14,18,20,39,42,6,9
673,2023-09-01,1,13,16,23,27,10,11
674,2023-09-05,9,11,13,15,25,4,9
675,2023-09-08,21,29,31,46,49,5,6
676,2023-09-12,5,13,43,45,50,1,10
677,2023-09-15,3,8,10,31,36,2,3
678,2023-09-19,8,18,26,38,39,4,12
679,2023-09-22,14,24,31,44,45,7,11
680,2023-09-26,23,24,38,42,44,1,10
681,2023-09-29,14,24,29,45,48,3,9
682,2023-10-03,13,28,29,31,47,8,9
683,2023-10-06,17,18,40,43,50,9,11
684,2023-10-10,7,8,12,21,43,4,11
685,2023-10-13,16,23,30,37,41,2,9
686,2023-10-17,6,8,42,49,50,3,5
687,2023-10-20,11,16,22,34,46,2,5
688,2023-10-24,5,14,35,40,47,1,3
689,2023-10-27,6,13,15,20,40,2,8
690,2023-10-31,6,15,21,34,48,1,5
691,2023-11-03,6,21,23,31,39,1,5
692,2023-11-07,26,36,43,47,49,4,7
693,2023-11-10,1,17,22,29,31,5,6
694,2023-11-14,9,30,34,38,48,2,3
695,2023-11-17,4,14,15,20,28,7,9
696,2023-11-21,9,20,21,22,38,3,12
697,2023-11-24,16,27,33,34,39,2,7
698,2023-11-28,11,12,13,23,36,3,8
699,2023-12-01,23,32,38,45,49,1,9
700,2023-12-05,6,11,16,26,49,2,9
701,2023-12-08,2,8,28,32,37,3,6
702,2023-12-12,2,8,20,34,40,9,12
703,2023-12-15,7,15,17,18,39,1,10
704,2023-12-19,4,6,17,31,45,6,12
705,2023-12-22,4,6,12,31,38,2,12
706,2023-12-26,4,13,16,22,27,1,10
707,2023-12-29,2,21,34,40,48,2,6
708,2024-01-02,19,26,36,48,49,10,11
709,2024-01-05,11,30,32,45,47,3,10
710,2024-01-09,9,12,26,41,47,7,10
711,2024-01-12,3,31,34,43,45,6,9
712,2024-01-16,6,19,32,39,42,4,9
713,2024-01-19,10,12,18,33,47,7,10
714,2024-01-23,9,18,20,32,39,5,8
715,2024-01-26,18,23,35,37,41,6,7
716,2024-01-30,10,12,15,46,48,9,11
717,2024-02-02,13,17,21,30,39,8,11
718,2024-02-06,16,19,20,26,44,1,4
719,2024-02-09,4,10,11,20,22,7,10
720,2024-02-13,7,20,22,45,48,10,12
721,2024-02-16,7,11,17,18,34,3,5
722,2024-02-20,1,3,11,15,30,4,10
723,2024-02-23,10,19,22,37,41,2,6
724,2024-02-27,15,17,30,38,49,1,11
725,2024-03-01,13,26,30,34,41,3,7
726,2024-03-05,2,20,30,31,40,8,12
727,2024-03-08,2,11,17,23,49,4,12
728,2024-03-12,2,8,11,16,20,4,10
729,2024-03-15,16,20,25,30,49,3,10
730,2024-03-19,1,20,28,32,49,3,10
731,2024-03-22,5,17,36,37,50,3,7
732,2024-03-26,12,15,17,30,32,1,6
733,2024-03-29,7,11,30,31,39,5,10
734,2024-04-02,14,17,29,32,45,1,2
735,2024-04-05,5,8,16,30,37,1,10
736,2024-04-09,1,7,21,27,43,1,3
737,2024-04-12,1,34,39,47,49,1,12
738,2024-04-16,35,36,37,41,48,1,12
739,2024-04-19,8,14,21,34,36,1,2
740,2024-04-23,2,3,6,15,35,1,3
741,2024-04-26,3,18,23,29,47,5,12
742,2024-04-30,4,20,33,37,45,8,9
743,2024-05-03,9,17,36,40,45,5,7
744,2024-05-07,3,11,32,33,35,3,11
745,2024-05-10,28,31,39,45,49,8,11
746,2024-05-14,19,22,23,24,27,1,6
747,2024-05-17,1,2,29,36,48,1,11
748,2024-05-21,7,23,31,33,38,10,11
749,2024-05-24,2,3,4,21,45,6,12
750,2024-05-28,13,26,27,35,46,3,4
751,2024-05-31,4,23,34,39,45,6,7
752,2024-06-04,1,3,24,43,49,2,4
753,2024-06-07,8,15,29,37,45,5,10
754,2024-06-11,4,12,16,29,31,1,9
755,2024-06-14,10,21,27,42,46,2,6
756,2024-06-18,4,10,23,24,45,7,8
757,2024-06-21,2,22,24,30,40,5,6
758,2024-06-25,8,14,25,31,45,3,12
759,2024-06-28,1,8,30,43,45,10,12
760,2024-07-02,10,29,30,32,40,6,12
761,2024-07-05,4,11,16,25,32,1,11
762,2024-07-09,5,14,25,26,44,8,10
763,2024-07-12,2,14,30,32,34,3,4
764,2024-07-16,8,22,27,36,43,5,8
765,2024-07-19,13,18,22,26,32,10,11
766,2024-07-23,9,13,21,24,38,6,12
767,2024-07-26,7,11,22,26,46,5,11
768,2024-07-30,2,16,30,31,49,2,5
769,2024-08-02,14,20,26,30,31,1,2
770,2024-08-06,4,9,22,32,35,9,10
771,2024-08-09,15,18,25,29,35,1,5
772,2024-08-13,6,9,33,34,50,1,7
773,2024-08-16,4,11,16,46,50,1,3
774,2024-08-20,25,28,29,31,33,6,12
775,2024-08-23,13,21,22,26,48,2,7
776,2024-08-27,15,24,29,33,39,2,9
777,2024-08-30,8,11,25,31,48,11,12
778,2024-09-03,5,17,23,36,37,5,9
779,2024-09-06,7,11,27,42,45,3,10
780,2024-09-10,7,10,31,41,46,1,5
781,2024-09-13,2,3,17,40,44,4,8
782,2024-09-17,1,3,13,24,44,11,12
783,2024-09-20,9,17,19,26,39,4,10
784,2024-09-24,3,13,34,41,43,1,5
785,2024-09-27,6,15,25,29,41,1,3
786,2024-10-01,17,37,42,45,50,6,7
787,2024-10-04,4,16,27,34,44,4,7
788,2024-10-08,13,29,42,44,48,2,8
789,2024-10-11,8,11,23,44,45,10,12
790,2024-10-15,9,20,38,44,45,4,12
791,2024-10-18,2,4,23,30,40,4,10
792,2024-10-22,4,32,36,38,47,3,9
793,2024-10-25,2,19,36,42,50,4,9
794,2024-10-29,3,17,26,30,49,1,10
795,2024-11-01,13,21,27,28,41,1,3
796,2024-11-05,22,29,36,38,43,1,6
797,2024-11-08,6,23,38,42,45,9,12
798,2024-11-12,2,3,34,38,49,10,11
799,2024-11-15,27,31,35,46,50,3,10
800,2024-11-19,4,7,19,26,27,4,5
801,2024-11-22,6,10,30,34,41,7,10
802,2024-11-26,20,21,28,32,37,1,5
803,2024-11-29,10,19,24,25,40,5,9
804,2024-12-03,7,20,23,24,37,4,10
805,2024-12-06,8,14,45,47,50,2,12
806,2024-12-10,17,23,30,41,43,4,11
807,2024-12-13,1,4,19,35,42,1,3
808,2024-12-17,11,14,18,35,42,4,11
809,2024-12-20,1,3,10,32,44,1,8
810,2024-12-24,9,15,28,36,39,6,7
811,2024-12-27,1,9,25,27,37,6,8
812,2024-12-31,26,34,49,2,21,7,12
813,2025-01-03,27,21,20,29,1,10,8
814,2025-01-07,16,44,20,1,23,9,5
815,2025-01-10,38,17,42,48,34,2,11
816,2025-01-14,30,20,11,17,10,2,6
817,2025-01-17,31,18,9,7,14,7,8
818,2025-01-21,3,17,40,22,28,9,4
819,2025-01-24,46,16,2,9,47,9,3
820,2025-01-28,43,7,28,46,2,12,5
821,2025-01-31,47,32,1,23,42,11,4
822,2025-02-04,41,21,10,18,42,9,3
823,2025-02-07,27,33,15,45,17,9,5
824,2025-02-11,47,12,3,22,28,1,12
825,2025-02-14,45,18,14,12,50,10,2
826,2025-02-18,44,1,19,14,9,2,3
827,2025-02-21,29,35,36,26,18,12,11
828,2025-02-25,31,28,42,38,48,10,3
829,2025-02-28,21,3,20,4,13,8,12
830,2025-03-04,48,4,35,12,37,4,10
831,2025-03-07,12,42,32,11,7,4,1
832,2025-03-11,22,23,18,44,15,11,1
833,2025-03-14,6,13,37,45,28,10,5
834,2025-03-18,50,47,14,7,1,3,7
835,2025-03-21,8,12,14,16,9,6,12
836,2025-03-25,35,50,30,11,3,5,4
837,2025-03-28,19,2,34,15,49,2,6
838,2025-04-01,39,41,17,50,12,9,12
839,2025-04-04,19,38,29,37,23,8,2
840,2025-04-08,47,40,39,41,17,5,8
841,2025-04-11,49,28,26,27,2,1,10
842,2025-04-15,8,13,35,11,33,1,10
843,2025-04-18,12,8,7,29,44,3,12
844,2025-04-22,23,38,16,10,29,5,3
845,2025-04-25,40,14,13,45,43,8,5
846,2025-04-29,34,21,30,27,17,8,11
847,2025-05-02,33,22,3,35,15,1,7
848,2025-05-06,49,46,21,22,1,10,9
849,2025-05-09,1,5,36,27,43,9,5
850,2025-05-13,34,16,33,19,14,5,12
851,2025-05-16,8,6,15,27,39,12,6
852,2025-05-20,28,19,20,21,8,10,7
853,2025-05-23,17,40,33,19,11,12,7
854,2025-05-27,41,9,25,6,17,4,10
855,2025-05-30,26,43,5,4,29,9,5
856,2025-06-03,8,26,30,6,19,1,12
857,2025-06-06,11,23,39,7,8,5,11
858,2025-06-10,20,1,17,42,28,12,2
859,2025-06-13,46,15,27,1,18,9,5
860,2025-06-17,10,35,13,15,33,12,7
861,2025-06-20,12,37,46,18,6,9,7
862,2025-06-24,20,31,44,35,40,3,4
863,2025-06-27,4,14,26,29,50,3,12
864,2025-07-01,1,9,10,12,14,6,8
865,2025-07-04,14,23,34,41,44,5,10
867,2025-07-08,21,27,29,34,43,6,10
868,2025-07-11,6,12,13,43,46,6,11
870,2025-07-15,13,28,33,37,45,6,11
871,2025-07-18,10,12,21,25,39,2,4
872,2025-07-22,5,20,42,46,48,7,8
873,2025-07-25,7,8,13,29,36,4,8
874,2025-07-29,20,21,38,43,49,6,11
875,2025-08-01,4,11,12,20,33,3,5
876,2025-08-05,1,18,21,22,34,1,6
877,2025-08-08,7,16,23,41,42,1,4
