id,Datum,Z1,Z2,Z3,Z4,Z5,EZ1,EZ2
138,2014-11-07,5,35,33,25,13,8,4
139,2014-11-14,49,25,41,45,22,5,2
140,2014-11-21,43,4,35,41,18,4,5
141,2014-11-28,6,35,18,16,29,9,6
142,2014-12-05,11,32,25,47,42,4,9
143,2014-12-12,15,1,8,37,19,7,9
144,2014-12-19,10,25,49,11,32,5,9
145,2014-12-26,39,2,30,43,21,5,7
146,2015-01-02,48,38,29,42,16,5,6
147,2015-01-09,41,27,19,20,13,9,5
148,2015-01-16,4,48,1,14,32,5,6
149,2015-01-23,30,2,32,14,13,3,1
150,2015-01-30,4,3,11,8,41,2,8
151,2015-02-06,22,19,37,3,39,10,5
152,2015-02-13,14,48,46,3,7,6,9
153,2015-02-20,18,29,16,44,1,7,2
154,2015-02-27,30,9,49,28,43,10,8
155,2015-03-06,16,32,9,17,20,2,3
156,2015-03-13,39,10,25,1,44,1,2
157,2015-03-20,9,13,38,11,35,7,5
158,2015-03-27,31,33,50,3,26,3,9
159,2015-04-03,34,48,37,43,5,4,2
160,2015-04-10,18,1,26,40,47,3,4
161,2015-04-17,20,13,5,33,6,8,3
162,2015-04-24,33,27,17,46,4,3,9
163,2015-05-01,25,50,30,8,24,4,6
164,2015-05-08,31,19,46,40,32,9,8
165,2015-05-15,38,12,14,46,18,9,10
166,2015-05-22,24,23,50,39,8,5,1
167,2015-05-29,16,38,28,6,1,1,6
168,2015-06-05,40,19,41,50,38,5,1
169,2015-06-12,27,23,17,30,39,6,8
170,2015-06-19,21,12,14,39,20,10,5
171,2015-06-26,27,14,28,35,47,1,8
172,2015-07-03,40,45,31,1,41,5,9
173,2015-07-10,35,47,12,36,39,3,6
174,2015-07-17,37,21,30,6,44,1,3
175,2015-07-24,6,30,12,15,20,3,6
176,2015-07-31,24,11,49,19,46,1,5
177,2015-08-07,15,49,1,22,9,4,7
178,2015-08-14,28,41,1,7,27,2,6
179,2015-08-21,13,20,39,40,42,3,9
180,2015-08-28,8,5,34,46,33,8,3
181,2015-09-04,12,23,46,41,37,3,7
182,2015-09-11,31,30,7,22,27,7,5
183,2015-09-18,3,48,41,13,7,1,7
184,2015-09-25,5,13,3,16,30,6,3
185,2015-10-02,39,7,9,28,47,8,2
186,2015-10-09,26,23,14,31,13,3,9
187,2015-10-16,38,11,19,42,46,3,9
188,2015-10-23,16,36,34,49,18,8,6
189,2015-10-30,5,15,16,37,36,5,3
190,2015-11-06,22,24,4,2,8,3,9
191,2015-11-13,23,49,27,19,26,10,3
192,2015-11-20,1,36,31,18,20,5,9
193,2015-11-27,2,26,49,13,7,3,4
194,2015-12-04,16,34,14,26,38,8,2
195,2015-12-11,36,37,49,39,34,10,8
196,2015-12-18,11,27,19,32,42,9,5
197,2015-12-25,8,36,33,34,9,9,3
198,2016-01-01,14,35,45,11,44,5,6
199,2016-01-08,47,1,2,24,5,8,3
200,2016-01-15,23,25,4,39,37,9,1
201,2016-01-22,19,3,26,36,29,4,9
202,2016-01-29,42,40,3,32,20,4,9
203,2016-02-05,37,25,35,43,10,5,8
204,2016-02-12,33,21,7,41,20,2,1
